question;answer;_sum;answer_sum
Что должно иметь автосцепное устройство пассажирских вагонов и специального железнодорожного подвижного состава?;Маневровые передвижения на ремонтных железнодорожных путях вагонных и локомотивных депо должны производиться под наблюдением ответственного работника соответствующего подразделения железнодорожного транспорта, осуществляющего ремонтные работы на указанных железнодорожных путях. ;Что должно иметь автосцепное устройство пассажирских вагонов и специального железнодорожного подвижного состава?Маневровые передвижения на ремонтных железнодорожных путях вагонных и локомотивных депо должны производиться под наблюдением ответственного работника соответствующего подразделения железнодорожного транспорта, осуществляющего ремонтные работы на указанных железнодорожных путях. ;Что должно иметь автосцепное устройство пассажирских вагонов и специального железнодорожного подвижного состава на ремонтных железнодорожных путях вагонных и локомотивных депо.Маневровые передвижения должны производиться под наблюдением ответственного работника соответствующего подразделения железнодорожного транспорта, осуществляющего ремонтные работы на указанных путях.
Какую высоту должны иметь переходные устройства для транспортировки мотор-вагонного подвижного состава и пассажирских вагонов?;Скорость передвижения железнодорожного подвижного состава по вагонным весам зависит от конструкции весов и должна соответствовать эксплуатационной документации. ;Какую высоту должны иметь переходные устройства для транспортировки мотор-вагонного подвижного состава и пассажирских вагонов?Скорость передвижения железнодорожного подвижного состава по вагонным весам зависит от конструкции весов и должна соответствовать эксплуатационной документации. ;Какую высоту должны иметь переходные устройства для транспортировки мотор-вагонного подвижного состава и пассажирских вагонов для передвижения железнодорожного состава по вагонным весам, а также какую высоту должен иметь переходная система для перевозки пассажирского вагона.
Какие устройства необходимы для транспортировки мотор-вагонного подвижного состава и пассажирских вагонов с сцепными устройствами жесткого типа?;"Допускается прицепка к пассажирским поездам дальнего следования вагонов служебно-технического назначения.
Во всех пассажирских поездах в первом и последнем вагонах крайние торцовые двери запираются, а переходные площадки закрепляются в поднятом положении. ";"Какие устройства необходимы для транспортировки мотор-вагонного подвижного состава и пассажирских вагонов с сцепными устройствами жесткого типа?Допускается прицепка к пассажирским поездам дальнего следования вагонов служебно-технического назначения.
Во всех пассажирских поездах в первом и последнем вагонах крайние торцовые двери запираются, а переходные площадки закрепляются в поднятом положении. ";Транспортировка пассажирских поездов дальнего следования вагонов служебно-технического назначения и пассажирских вагонов с сцепными устройствами жесткого типа необходима для транспортировки мотор-вагонного подвижного состава.
Какие типы вагонов допускается транспортировать с использованием переходных устройств?;Не допускается ставить в грузопассажирские поезда вагоны с опасными грузами, а также порожние цистерны из-под сжиженных газов. На малоинтенсивных линиях (участках), где обращаются только грузопассажирские поезда, допускается постановка в них вагонов с опасными грузами (за исключением вагонов с опасными грузами класса 1 (ВМ) в порядке, установленном локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования). ;Какие типы вагонов допускается транспортировать с использованием переходных устройств?Не допускается ставить в грузопассажирские поезда вагоны с опасными грузами, а также порожние цистерны из-под сжиженных газов. На малоинтенсивных линиях (участках), где обращаются только грузопассажирские поезда, допускается постановка в них вагонов с опасными грузами (за исключением вагонов с опасными грузами класса 1 (ВМ) в порядке, установленном локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования). ;Не допускается ставить в грузопассажирские поезда вагоны с опасными грузами, а также порожние цистерны из-под сжиженных газов. Транспортировать вагоны допускается с использованием переходных устройств, установленных локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования).
Какие требования должны соответствовать сцепные устройства пассажирских вагонов для эксплуатации со скоростью от 140 до 160 км/ч?;Типовые требования устанавливают приоритетность выполнения машинистами и руководителями маневров требований сигналов над всеми командами (сообщениями и указаниями), за исключением команд на остановку в случае угрозы жизни, здоровью людей или безопасности движения. ;Какие требования должны соответствовать сцепные устройства пассажирских вагонов для эксплуатации со скоростью от 140 до 160 км/ч?Типовые требования устанавливают приоритетность выполнения машинистами и руководителями маневров требований сигналов над всеми командами (сообщениями и указаниями), за исключением команд на остановку в случае угрозы жизни, здоровью людей или безопасности движения. ;Какие требования должны соответствовать сцепные устройства пассажирских вагонов для эксплуатации со скоростью от 140 до 160 км/ч, а также требования сигналов над всеми командами, за исключением команд на остановку в случае угрозы жизни, здоровью людей или безопасности движения.
Какие требования к сцепным устройствам пассажирских вагонов при скорости от 160 до 200 км/ч?;Скорость передвижения железнодорожного подвижного состава по вагонным весам зависит от конструкции весов и должна соответствовать эксплуатационной документации. ;Какие требования к сцепным устройствам пассажирских вагонов при скорости от 160 до 200 км/ч?Скорость передвижения железнодорожного подвижного состава по вагонным весам зависит от конструкции весов и должна соответствовать эксплуатационной документации. ;Какие требования к сцепным устройствам пассажирских вагонов при скорости от 160 до 200 км/ч и требования для сцепных устройств пассажирского подвижного состава при скорости до 160 км/ч, которые должны соответствовать эксплуатационной документации.
Обязательно ли наличие буферов при использовании сцепных устройств жесткого типа?;"Контактная сеть должна разделяться на секции при помощи изолирующих сопряжений анкерных участков (обеспечивающих электрическую независимость смежных секций), нейтральных вставок, секционных и секционирующих изоляторов, разъединителей.
Опоры контактной сети, ограничивающие пролет с изолирующим сопряжением (в том числе выполненным в виде секционного изолятора), должны иметь отличительную окраску. Между этими опорами запрещается остановка электроподвижного состава с поднятым токоприемником.
Линии электропередачи автоблокировки и продольного электроснабжения напряжением свыше 1000 В должны разделяться на секции с помощью секционирующих изоляторов и (или) разъединителей. ";"Обязательно ли наличие буферов при использовании сцепных устройств жесткого типа?Контактная сеть должна разделяться на секции при помощи изолирующих сопряжений анкерных участков (обеспечивающих электрическую независимость смежных секций), нейтральных вставок, секционных и секционирующих изоляторов, разъединителей.
Опоры контактной сети, ограничивающие пролет с изолирующим сопряжением (в том числе выполненным в виде секционного изолятора), должны иметь отличительную окраску. Между этими опорами запрещается остановка электроподвижного состава с поднятым токоприемником.
Линии электропередачи автоблокировки и продольного электроснабжения напряжением свыше 1000 В должны разделяться на секции с помощью секционирующих изоляторов и (или) разъединителей. ";Сцепные устройства жесткого типа должны разделяться на секции при помощи секционирующих изоляторов и разъединителей. Обязательно ли наличие буферов при использовании сцепных устройств жесткого типа, а также наличие анкерных участков и нейтральных вставок. Между этими опорами запрещается остановка электроподвижного состава с поднятым токоприемником.
Какие требования к сцепкам головной и хвостовой сцепок высокоскоростных поездов при скорости движения от 200 до 250 км/ч?;"Сцепление дрезин съемного типа между собой, дрезины с прицепом, а также прицепов между собой допускается только типовыми приборами и должно производиться в соответствии с технической и эксплуатационной документацией.
Руководитель работ обязан убедиться в надежности сцепления прицепов со съемной дрезиной и между собой.
Дрезины съемного типа запрещается сцеплять с другими типами железнодорожного подвижного состава. ";"Какие требования к сцепкам головной и хвостовой сцепок высокоскоростных поездов при скорости движения от 200 до 250 км/ч?Сцепление дрезин съемного типа между собой, дрезины с прицепом, а также прицепов между собой допускается только типовыми приборами и должно производиться в соответствии с технической и эксплуатационной документацией.
Руководитель работ обязан убедиться в надежности сцепления прицепов со съемной дрезиной и между собой.
Дрезины съемного типа запрещается сцеплять с другими типами железнодорожного подвижного состава. ";Сцепки головной и хвостовой сцепок высокоскоростных поездов при скорости движения от 200 до 250 км/ч допускаются только типовыми приборами и должны производиться в соответствии с технической и эксплуатационной документацией. Руководитель работ обязан убедиться в надежности сцепления дрезин съемного типа между собой, дрезины с прицепом и другими типами железнодорожного подвижного состава.
Какое оборудование должны иметь локомотивы, эксплуатируемые на инфраструктуре?;"Сооружения, устройства, механизмы и оборудование железнодорожного транспорта должны соответствовать утвержденной проектной, конструкторской и эксплуатационной документации. Владелец сооружений, устройств, механизмов и оборудования железнодорожного транспорта должен иметь на них техническую документацию.
Владелец инфраструктуры (владелец железнодорожного пути необщего пользования) должен иметь:
ремонтную и эксплуатационную документацию на железнодорожные пути, сооружения и устройства;
масштабные и схематические планы железнодорожных станций, продольные профили всех главных, станционных железнодорожных путей и сортировочных горок, расположенных на принадлежащих им железнодорожных путях, а владелец инфраструктуры, в том числе железнодорожных путей необщего пользования, на которых обращаются его локомотивы.
Размещение и техническое оснащение эксплуатационных и ремонтных локомотивных, мотор-вагонных депо, пунктов технического обслуживания локомотивов, мотор-вагонного подвижного состава, мастерских, экипировочных устройств и других сооружений и устройств, предназначенных для обслуживания локомотивов, мотор-вагонного подвижного состава, осуществляется таким образом, чтобы были обеспечены установленные размеры движения поездов, эффективное использование локомотивов, мотор-вагонного подвижного состава, качественный ремонт и техническое обслуживание, рациональное использование материальных ресурсов, экологическую безопасность и безопасные условия труда, а также условия для тушения пожаров, проведения аварийно-спасательных работ в железнодорожном подвижном составе и на стационарных объектах железнодорожного транспорта, ликвидации аварийных ситуаций с железнодорожным подвижным составом, перевозящим опасные грузы.
Размещение и техническое оснащение эксплуатационных и ремонтных вагонных депо, пунктов технического обслуживания грузовых и пассажирских вагонов, промывочно-пропарочных станций и других сооружений и устройств вагонного хозяйства осуществляется таким образом, чтобы были произведены качественный ремонт и техническое обслуживание, рационально использовались материальные ресурсы, обеспечивались экологическая безопасность, безопасные условия труда, условия для проведения работ по тушению пожаров и ликвидации аварийных ситуаций с опасными грузами. ";"Какое оборудование должны иметь локомотивы, эксплуатируемые на инфраструктуре?Сооружения, устройства, механизмы и оборудование железнодорожного транспорта должны соответствовать утвержденной проектной, конструкторской и эксплуатационной документации. Владелец сооружений, устройств, механизмов и оборудования железнодорожного транспорта должен иметь на них техническую документацию.
Владелец инфраструктуры (владелец железнодорожного пути необщего пользования) должен иметь:
ремонтную и эксплуатационную документацию на железнодорожные пути, сооружения и устройства;
масштабные и схематические планы железнодорожных станций, продольные профили всех главных, станционных железнодорожных путей и сортировочных горок, расположенных на принадлежащих им железнодорожных путях, а владелец инфраструктуры, в том числе железнодорожных путей необщего пользования, на которых обращаются его локомотивы.
Размещение и техническое оснащение эксплуатационных и ремонтных локомотивных, мотор-вагонных депо, пунктов технического обслуживания локомотивов, мотор-вагонного подвижного состава, мастерских, экипировочных устройств и других сооружений и устройств, предназначенных для обслуживания локомотивов, мотор-вагонного подвижного состава, осуществляется таким образом, чтобы были обеспечены установленные размеры движения поездов, эффективное использование локомотивов, мотор-вагонного подвижного состава, качественный ремонт и техническое обслуживание, рациональное использование материальных ресурсов, экологическую безопасность и безопасные условия труда, а также условия для тушения пожаров, проведения аварийно-спасательных работ в железнодорожном подвижном составе и на стационарных объектах железнодорожного транспорта, ликвидации аварийных ситуаций с железнодорожным подвижным составом, перевозящим опасные грузы.
Размещение и техническое оснащение эксплуатационных и ремонтных вагонных депо, пунктов технического обслуживания грузовых и пассажирских вагонов, промывочно-пропарочных станций и других сооружений и устройств вагонного хозяйства осуществляется таким образом, чтобы были произведены качественный ремонт и техническое обслуживание, рационально использовались материальные ресурсы, обеспечивались экологическая безопасность, безопасные условия труда, условия для проведения работ по тушению пожаров и ликвидации аварийных ситуаций с опасными грузами. ";Сооружения, устройства, механизмы и оборудование железнодорожного транспорта должны соответствовать утвержденной проектной, конструкторской и эксплуатационной документации. Владелец инфраструктуры, в том числе железнодорожного пути необщего пользования, должен иметь на них техническую документацию.
Сколько носимых радиостанций допускается иметь на локомотиве?;Количество людей и груза для одновременного проезда на съемной дрезине и прицепе не должно превышать установленного технической документацией. ;Сколько носимых радиостанций допускается иметь на локомотиве?Количество людей и груза для одновременного проезда на съемной дрезине и прицепе не должно превышать установленного технической документацией. ;Сколько носимых радиостанций допускается иметь на локомотиве. Количество людей и груза для одновременного проезда на съемной дрезине и прицепе не должно превышать установленного технической документацией перечня радиостанций.
Какое оборудование должны иметь маневровые локомотивы и локомотивы без помощника машиниста?;"Сооружения, устройства, механизмы и оборудование железнодорожного транспорта должны соответствовать утвержденной проектной, конструкторской и эксплуатационной документации. Владелец сооружений, устройств, механизмов и оборудования железнодорожного транспорта должен иметь на них техническую документацию.
Владелец инфраструктуры (владелец железнодорожного пути необщего пользования) должен иметь:
ремонтную и эксплуатационную документацию на железнодорожные пути, сооружения и устройства;
масштабные и схематические планы железнодорожных станций, продольные профили всех главных, станционных железнодорожных путей и сортировочных горок, расположенных на принадлежащих им железнодорожных путях, а владелец инфраструктуры, в том числе железнодорожных путей необщего пользования, на которых обращаются его локомотивы.
Размещение и техническое оснащение эксплуатационных и ремонтных локомотивных, мотор-вагонных депо, пунктов технического обслуживания локомотивов, мотор-вагонного подвижного состава, мастерских, экипировочных устройств и других сооружений и устройств, предназначенных для обслуживания локомотивов, мотор-вагонного подвижного состава, осуществляется таким образом, чтобы были обеспечены установленные размеры движения поездов, эффективное использование локомотивов, мотор-вагонного подвижного состава, качественный ремонт и техническое обслуживание, рациональное использование материальных ресурсов, экологическую безопасность и безопасные условия труда, а также условия для тушения пожаров, проведения аварийно-спасательных работ в железнодорожном подвижном составе и на стационарных объектах железнодорожного транспорта, ликвидации аварийных ситуаций с железнодорожным подвижным составом, перевозящим опасные грузы.
Размещение и техническое оснащение эксплуатационных и ремонтных вагонных депо, пунктов технического обслуживания грузовых и пассажирских вагонов, промывочно-пропарочных станций и других сооружений и устройств вагонного хозяйства осуществляется таким образом, чтобы были произведены качественный ремонт и техническое обслуживание, рационально использовались материальные ресурсы, обеспечивались экологическая безопасность, безопасные условия труда, условия для проведения работ по тушению пожаров и ликвидации аварийных ситуаций с опасными грузами. ";"Какое оборудование должны иметь маневровые локомотивы и локомотивы без помощника машиниста?Сооружения, устройства, механизмы и оборудование железнодорожного транспорта должны соответствовать утвержденной проектной, конструкторской и эксплуатационной документации. Владелец сооружений, устройств, механизмов и оборудования железнодорожного транспорта должен иметь на них техническую документацию.
Владелец инфраструктуры (владелец железнодорожного пути необщего пользования) должен иметь:
ремонтную и эксплуатационную документацию на железнодорожные пути, сооружения и устройства;
масштабные и схематические планы железнодорожных станций, продольные профили всех главных, станционных железнодорожных путей и сортировочных горок, расположенных на принадлежащих им железнодорожных путях, а владелец инфраструктуры, в том числе железнодорожных путей необщего пользования, на которых обращаются его локомотивы.
Размещение и техническое оснащение эксплуатационных и ремонтных локомотивных, мотор-вагонных депо, пунктов технического обслуживания локомотивов, мотор-вагонного подвижного состава, мастерских, экипировочных устройств и других сооружений и устройств, предназначенных для обслуживания локомотивов, мотор-вагонного подвижного состава, осуществляется таким образом, чтобы были обеспечены установленные размеры движения поездов, эффективное использование локомотивов, мотор-вагонного подвижного состава, качественный ремонт и техническое обслуживание, рациональное использование материальных ресурсов, экологическую безопасность и безопасные условия труда, а также условия для тушения пожаров, проведения аварийно-спасательных работ в железнодорожном подвижном составе и на стационарных объектах железнодорожного транспорта, ликвидации аварийных ситуаций с железнодорожным подвижным составом, перевозящим опасные грузы.
Размещение и техническое оснащение эксплуатационных и ремонтных вагонных депо, пунктов технического обслуживания грузовых и пассажирских вагонов, промывочно-пропарочных станций и других сооружений и устройств вагонного хозяйства осуществляется таким образом, чтобы были произведены качественный ремонт и техническое обслуживание, рационально использовались материальные ресурсы, обеспечивались экологическая безопасность, безопасные условия труда, условия для проведения работ по тушению пожаров и ликвидации аварийных ситуаций с опасными грузами. ";Сооружения, устройства, механизмы и оборудование железнодорожного транспорта должны соответствовать утвержденной проектной, конструкторской и эксплуатационной документации. Владелец инфраструктуры (владелец железнодорожного пути необщего пользования) должен иметь на них ремонтную и эксплуатационную документацию.
В каких случаях не требуется снабжать железнодорожный подвижной состав носимыми радиостанциями?;При использовании для закрепления железнодорожного подвижного состава, оставляемого без локомотива, стационарных устройств закрепления или средств закрепления, необходимые минимальные нормы устанавливаются в соответствии с технической документацией на эти устройства и указываются в локальном нормативном акте владельца инфраструктуры (владельца железнодорожных путей необщего пользования). ;В каких случаях не требуется снабжать железнодорожный подвижной состав носимыми радиостанциями?При использовании для закрепления железнодорожного подвижного состава, оставляемого без локомотива, стационарных устройств закрепления или средств закрепления, необходимые минимальные нормы устанавливаются в соответствии с технической документацией на эти устройства и указываются в локальном нормативном акте владельца инфраструктуры (владельца железнодорожных путей необщего пользования). ;В каких случаях не требуется снабжать железнодорожный подвижной состав носимыми радиостанциями, какие нормы устанавливаются для закрепления железнодорожного подвижного состава. При использовании носимых радиостанций необходимые минимальные нормы указываются в локальном нормативном акте владельца инфраструктуры (владельца железнодорожных путей необщего пользования).
Какое дополнительное оборудование должны иметь локомотивы и мотор-вагонный подвижной состав?;"Сооружения, устройства, механизмы и оборудование железнодорожного транспорта должны соответствовать утвержденной проектной, конструкторской и эксплуатационной документации. Владелец сооружений, устройств, механизмов и оборудования железнодорожного транспорта должен иметь на них техническую документацию.
Владелец инфраструктуры (владелец железнодорожного пути необщего пользования) должен иметь:
ремонтную и эксплуатационную документацию на железнодорожные пути, сооружения и устройства;
масштабные и схематические планы железнодорожных станций, продольные профили всех главных, станционных железнодорожных путей и сортировочных горок, расположенных на принадлежащих им железнодорожных путях, а владелец инфраструктуры, в том числе железнодорожных путей необщего пользования, на которых обращаются его локомотивы.
Размещение и техническое оснащение эксплуатационных и ремонтных локомотивных, мотор-вагонных депо, пунктов технического обслуживания локомотивов, мотор-вагонного подвижного состава, мастерских, экипировочных устройств и других сооружений и устройств, предназначенных для обслуживания локомотивов, мотор-вагонного подвижного состава, осуществляется таким образом, чтобы были обеспечены установленные размеры движения поездов, эффективное использование локомотивов, мотор-вагонного подвижного состава, качественный ремонт и техническое обслуживание, рациональное использование материальных ресурсов, экологическую безопасность и безопасные условия труда, а также условия для тушения пожаров, проведения аварийно-спасательных работ в железнодорожном подвижном составе и на стационарных объектах железнодорожного транспорта, ликвидации аварийных ситуаций с железнодорожным подвижным составом, перевозящим опасные грузы.
Размещение и техническое оснащение эксплуатационных и ремонтных вагонных депо, пунктов технического обслуживания грузовых и пассажирских вагонов, промывочно-пропарочных станций и других сооружений и устройств вагонного хозяйства осуществляется таким образом, чтобы были произведены качественный ремонт и техническое обслуживание, рационально использовались материальные ресурсы, обеспечивались экологическая безопасность, безопасные условия труда, условия для проведения работ по тушению пожаров и ликвидации аварийных ситуаций с опасными грузами. ";"Какое дополнительное оборудование должны иметь локомотивы и мотор-вагонный подвижной состав?Сооружения, устройства, механизмы и оборудование железнодорожного транспорта должны соответствовать утвержденной проектной, конструкторской и эксплуатационной документации. Владелец сооружений, устройств, механизмов и оборудования железнодорожного транспорта должен иметь на них техническую документацию.
Владелец инфраструктуры (владелец железнодорожного пути необщего пользования) должен иметь:
ремонтную и эксплуатационную документацию на железнодорожные пути, сооружения и устройства;
масштабные и схематические планы железнодорожных станций, продольные профили всех главных, станционных железнодорожных путей и сортировочных горок, расположенных на принадлежащих им железнодорожных путях, а владелец инфраструктуры, в том числе железнодорожных путей необщего пользования, на которых обращаются его локомотивы.
Размещение и техническое оснащение эксплуатационных и ремонтных локомотивных, мотор-вагонных депо, пунктов технического обслуживания локомотивов, мотор-вагонного подвижного состава, мастерских, экипировочных устройств и других сооружений и устройств, предназначенных для обслуживания локомотивов, мотор-вагонного подвижного состава, осуществляется таким образом, чтобы были обеспечены установленные размеры движения поездов, эффективное использование локомотивов, мотор-вагонного подвижного состава, качественный ремонт и техническое обслуживание, рациональное использование материальных ресурсов, экологическую безопасность и безопасные условия труда, а также условия для тушения пожаров, проведения аварийно-спасательных работ в железнодорожном подвижном составе и на стационарных объектах железнодорожного транспорта, ликвидации аварийных ситуаций с железнодорожным подвижным составом, перевозящим опасные грузы.
Размещение и техническое оснащение эксплуатационных и ремонтных вагонных депо, пунктов технического обслуживания грузовых и пассажирских вагонов, промывочно-пропарочных станций и других сооружений и устройств вагонного хозяйства осуществляется таким образом, чтобы были произведены качественный ремонт и техническое обслуживание, рационально использовались материальные ресурсы, обеспечивались экологическая безопасность, безопасные условия труда, условия для проведения работ по тушению пожаров и ликвидации аварийных ситуаций с опасными грузами. ";Сооружения, устройства, механизмы и оборудование железнодорожного транспорта должны соответствовать утвержденной проектной, конструкторской и эксплуатационной документации. Владелец инфраструктуры, в том числе железнодорожного пути необщего пользования, должен иметь на них ремонтную и эксплуатационную документацию.
